Emisor,Mensaje
Amanda ,Perd—n por rega–arte tanto
Amanda ,Pos la que no est‡ mordida
Amanda ," No... Ya casi paso los a–os m‡s pesados de mi vida, aguanta"
Amanda ,Ten cuidado jaja me dices si te hace algo
Amanda ,"Mira, tengo tarea de m_todos, de mec‡nica y la pr‡ctica de laboratorio"
Amanda ,Pos yo dorm’ 4 horas y talvez esta noche igual jaja
Amanda ,No me molestaba ningœn caso pero quer’a saber... Y entonces me alegra mucho que te cayera bien! Somos amigos desde la secu y pues tambi_n lo aprecio mucho
Amanda ,"S’! Jaja pero hab’a afters obviamente, solo que fueron por m’ temprano"
Amanda ,Jaja yo me dorm’ super temprano y amanec’ fresca como lechuga
Amanda ,Los veo all‡ pues bbys
Amanda ,"Jajajaja bueno, un d’a te har_ un dibujo pa ti"
Amanda ,Y para ma–ana debo acabar la tarea de dos d’as y medio de m_todos porque la va a evaluar y pone un problema en particular jaba
Amanda ,Porque che tarea de m_todos no lo. Hallo y ya me hart— su talacha estoy harta de las parciales y de la grosera regla de la cadena groser’sima... Hace tanto no veo una che derivada completa ni mugres nœmeros!!
Amanda ,"Jaja pues esque no es mi culpa, es tuya "
Amanda ,Esque sabes qu_? Si no crees mis mentiras no podemos continuar jaja
Amanda ,Jaja grosero... Yo te estaba esperando
Amanda ,Me seguir_ levantando temprano jaja... Me voy a morir... Y es la primera semana
Amanda ,Ya me va a andar al rato para levantarmd jaja pero no me puedo dormir
Amanda ,"Entiendo, s—lo te lo voy a estar recordando jaja"
Amanda ,"No manches, nom‡s por verbear jaja"
Amanda ,Ay.. No te enojes tœ tambi_n
Amanda ,Esta es mi favorita ya iba en camino con mi carilla
Amanda , Grosero majadero
Amanda ," Dios santo... Sin—nimos de rega–ona de seguro, pero esque yo te quiero mucho jaja"
Amanda ,Yo que tanto te quiero
Amanda ,Okey u.u...l voy a intentar pero as’ he estado durmiendo y me levanto tarde y completo mis 8 hrs
Amanda ,Porque no s_ jaja como casi no hago nada en el d’a no me canso
Amanda ,"Oye, c—mo hago el problema de f’sica?"
Amanda ,Jaja ah si? Y por qu_ no me visitas?
Amanda ,Achis... Pos tœ y yo e. Invitamos gente que baile tambi_n si quieres
Amanda ,Jajaja ay aj‡...a menos que sea tu œnico d’a de descanso y quieras ver a tu novia.
Amanda ,"Jaja estr_s supongo..crisis existenciales, tœ sabes...la ansiedad de vivir jaja"
Amanda ,Jaja esque no era de preocuparse tal cual.. Pero yo bien berrinchuda jaja
Amanda ,Pos claro!! jaja por qu_ crees que decid’ irme a lo experimental (ya lo estoy reconsiderando jaja ay diosito)
